,GDP,Net_Exports,Exports,Imports,Gov_Spending,Savings,Consumption
1959-01-01,3352.129,0.519,21.915,21.396,989.449,2426.0,306.1
1959-04-01,3427.667,-0.768,21.776,22.544,1001.749,2470.0,312.2
1959-07-01,3430.057,1.211,24.079,22.868,1010.329,2492.0,317.8
1959-10-01,3439.832,0.627,23.131,22.504,1002.144,2480.6,322.8
1960-01-01,3517.181,2.858,26.145,23.288,985.207,2537.6,323.6
1960-04-01,3498.246,3.395,26.85,23.455,995.833,2551.4,336.5
1960-07-01,3515.385,4.682,27.561,22.879,1020.016,2561.9,331.4
1960-10-01,3470.278,5.88,27.622,21.742,1026.824,2564.1,335.4
1961-01-01,3493.703,5.902,27.56,21.658,1041.989,2556.6,332.2
1961-04-01,3553.021,4.727,26.627,21.899,1044.388,2578.3,337.6
1961-07-01,3621.252,4.453,27.779,23.326,1066.389,2620.7,340.6
1961-10-01,3692.289,4.572,28.442,23.87,1089.696,2665.2,346.5
1962-01-01,3758.147,4.01,28.325,24.314,1110.693,2700.8,353.2
1962-04-01,3792.149,4.777,29.662,24.884,1116.0,2749.0,359.0
1962-07-01,3838.776,4.482,29.593,25.111,1141.704,2769.4,361.4
1962-10-01,3851.421,3.133,28.683,25.55,1149.646,2785.0,366.5
1963-01-01,3893.482,3.976,29.161,25.185,1134.115,2806.3,374.4
1963-04-01,3937.183,5.558,31.448,25.89,1135.077,2834.3,376.4
1963-07-01,4023.755,4.511,31.215,26.704,1185.424,2862.7,384.4
1963-10-01,4050.147,5.711,32.474,26.764,1173.662,2908.9,386.0
1964-01-01,4135.553,7.213,34.192,26.978,1177.319,2936.3,396.8
1964-04-01,4180.592,6.305,34.03,27.726,1187.944,2996.0,402.8
1964-07-01,4245.918,6.946,35.375,28.429,1189.381,3043.0,414.9
1964-10-01,4259.046,7.195,36.48,29.285,1188.954,3076.4,419.6
1965-01-01,4362.111,4.512,32.969,28.457,1187.655,3134.5,424.4
1965-04-01,4417.225,6.688,38.367,31.679,1202.022,3178.8,437.1
1965-07-01,4515.427,5.521,37.551,32.03,1241.732,3230.4,441.0
1965-10-01,4619.458,5.75,39.698,33.948,1265.368,3305.3,458.5
1966-01-01,4731.888,4.367,39.356,34.99,1289.017,3353.6,465.2
1966-04-01,4748.046,4.632,40.872,36.24,1313.365,3388.0,476.9
1966-07-01,4788.254,2.687,40.857,38.171,1349.101,3434.6,480.6
1966-10-01,4827.537,3.765,42.594,38.829,1372.382,3468.5,488.3
1967-01-01,4870.299,4.453,43.886,39.432,1429.849,3508.2,494.2
1967-04-01,4873.287,4.219,43.239,39.02,1424.221,3522.2,501.3
1967-07-01,4919.392,3.302,42.845,39.543,1440.159,3557.6,506.7
1967-10-01,4956.477,2.244,43.896,41.652,1451.435,3579.1,512.2
1968-01-01,5057.553,1.054,45.452,44.399,1477.236,3629.2,530.9
1968-04-01,5142.033,1.749,47.165,45.416,1485.012,3688.0,544.0
1968-07-01,5181.859,1.65,49.891,48.24,1489.654,3751.3,563.2
1968-10-01,5202.212,0.945,49.116,48.17,1490.99,3790.5,571.6
1969-01-01,5283.597,0.239,44.042,43.804,1494.713,3824.3,583.5
1969-04-01,5299.625,1.104,53.775,52.671,1490.022,3868.8,593.9
1969-07-01,5334.6,1.231,53.596,52.365,1493.466,3920.7,602.7
1969-10-01,5308.556,3.149,56.275,53.126,1473.931,3961.6,618.5
1970-01-01,5300.652,3.514,57.031,53.517,1466.946,3979.5,628.7
1970-04-01,5308.164,5.207,60.411,55.204,1450.151,3978.0,636.0
1970-07-01,5357.077,4.088,60.519,56.431,1456.479,4020.4,648.5
1970-10-01,5299.672,2.985,60.873,57.888,1457.243,3994.3,658.3
1971-01-01,5443.619,4.57,63.221,58.651,1436.079,4041.6,676.1
1971-04-01,5473.059,-0.401,62.894,63.296,1432.809,4068.1,688.8
1971-07-01,5518.072,0.236,65.717,65.482,1432.388,4091.7,698.9
1971-10-01,5531.032,-1.92,60.019,61.939,1422.625,4142.0,715.8
1972-01-01,5632.649,-3.534,68.639,72.173,1429.346,4208.2,731.5
1972-04-01,5760.47,-4.258,67.152,71.409,1437.955,4273.3,752.5
1972-07-01,5814.854,-2.638,71.453,74.09,1409.295,4332.2,769.9
1972-10-01,5912.22,-3.061,76.129,79.19,1420.091,4471.0,794.9
1973-01-01,6058.544,-1.4,83.959,85.36,1431.595,4506.6,816.5
1973-04-01,6124.506,2.454,91.923,89.468,1424.526,4539.4,835.7
1973-07-01,6092.301,6.437,97.576,91.139,1406.406,4591.5,854.1
1973-10-01,6150.131,8.952,107.62,98.669,1415.766,4644.2,868.2
1974-01-01,6097.258,6.394,116.709,110.315,1442.35,4589.0,884.5
1974-04-01,6111.751,-2.714,126.668,129.382,1451.635,4505.4,910.8
1974-07-01,6053.978,-6.972,126.638,133.61,1453.496,4510.0,937.9
1974-10-01,6030.464,0.033,136.585,136.552,1459.885,4507.8,959.2
1975-01-01,5957.035,16.481,141.369,124.888,1476.106,4442.2,975.6
1975-04-01,5999.61,21.582,136.827,115.245,1466.234,4416.5,995.0
1975-07-01,6102.326,12.043,134.098,122.055,1489.536,4447.1,1039.8
1975-10-01,6184.53,13.801,142.531,128.73,1503.365,4516.9,1060.9
1976-01-01,6323.649,4.65,143.588,138.938,1506.522,4553.5,1107.1
1976-04-01,6370.025,-0.496,146.621,147.116,1491.358,4626.6,1125.4
1976-07-01,6404.895,-4.073,151.775,155.848,1483.926,4660.0,1149.6
1976-10-01,6451.177,-6.603,156.076,162.68,1484.438,4689.5,1176.8
1977-01-01,6527.703,-21.079,155.354,176.433,1497.302,4726.1,1215.0
1977-04-01,6654.466,-21.136,161.906,183.042,1512.023,4789.3,1247.3
1977-07-01,6774.457,-20.579,162.325,182.904,1515.394,4848.1,1280.5
1977-10-01,6774.592,-29.582,157.809,187.391,1512.118,4956.6,1311.4
1978-01-01,6796.26,-38.681,164.601,203.282,1513.863,4995.2,1329.5
1978-04-01,7058.92,-22.624,186.215,208.84,1554.053,5093.2,1396.4
1978-07-01,7129.915,-23.76,191.302,215.062,1566.415,5136.2,1426.8
1978-10-01,7225.75,-16.4,205.415,221.815,1580.582,5195.9,1466.9
1979-01-01,7238.727,-18.159,211.669,229.828,1566.901,5248.7,1502.4
1979-04-01,7246.454,-22.189,220.908,243.097,1582.978,5242.7,1538.4
1979-07-01,7300.281,-23.029,234.277,257.306,1585.117,5241.8,1586.1
1979-10-01,7318.535,-26.802,253.664,280.466,1595.44,5253.6,1641.6
1980-01-01,7341.557,-35.803,268.508,304.311,1620.201,5277.0,1697.3
1980-04-01,7190.289,-15.211,277.389,292.6,1625.907,5228.0,1695.2
1980-07-01,7181.743,5.471,284.673,279.202,1601.896,5196.7,1747.1
1980-10-01,7315.677,-6.682,292.517,299.2,1601.844,5292.9,1817.1
1981-01-01,7459.022,-14.259,305.467,319.726,1622.767,5324.9,1870.0
1981-04-01,7403.745,-13.508,308.455,321.963,1627.876,5320.2,1904.4
1981-07-01,7492.405,-7.561,302.339,309.9,1621.636,5427.8,1942.1
1981-10-01,7410.768,-14.75,304.695,319.445,1639.902,5430.4,1963.9
1982-01-01,7295.631,-16.276,293.202,309.478,1638.197,5419.4,1997.1
1982-04-01,7328.912,-4.386,294.729,299.115,1648.894,5466.4,2026.3
1982-07-01,7300.896,-29.647,279.634,309.282,1659.271,5425.2,2072.2
1982-10-01,7303.817,-29.587,265.274,294.861,1685.777,5415.4,2125.8
1983-01-01,7400.066,-24.548,270.703,295.251,1701.92,5458.2,2174.0
1983-04-01,7568.456,-45.434,272.514,317.949,1719.089,5489.2,2226.4
1983-07-01,7719.746,-65.2,278.181,343.381,1747.296,5562.4,2304.4
1983-10-01,7880.794,-71.385,286.587,357.972,1718.037,5668.5,2357.6
1984-01-01,8034.847,-95.004,292.975,387.978,1738.143,5777.9,2419.4
1984-04-01,8173.67,-104.301,302.2,406.501,1777.082,5896.5,2457.5
1984-07-01,8252.465,-103.847,305.744,409.591,1791.778,5978.9,2494.6
1984-10-01,8320.199,-107.756,308.603,416.359,1825.993,6049.7,2531.3
1985-01-01,8400.82,-91.298,306.01,397.308,1847.95,6106.5,2618.8
1985-04-01,8474.787,-114.445,304.126,418.571,1890.96,6128.2,2659.5
1985-07-01,8604.22,-116.895,297.273,414.168,1935.41,6169.5,2715.7
1985-10-01,8668.188,-133.434,305.433,438.867,1941.759,6242.3,2755.8
1986-01-01,8749.127,-126.014,313.404,439.418,1957.959,6277.3,2827.1
1986-04-01,8788.524,-128.872,315.119,443.99,1997.828,6390.2,2835.2
1986-07-01,8872.601,-138.961,320.471,459.432,2043.397,6416.9,2881.2
1986-10-01,8920.193,-133.629,334.999,468.628,2031.483,6448.9,2932.9
1987-01-01,8986.367,-141.234,336.451,477.685,2044.332,6473.4,2935.5
1987-04-01,9083.256,-146.977,355.36,502.337,2062.908,6507.7,3038.8
1987-07-01,9162.024,-145.464,371.854,517.318,2067.686,6570.7,3094.7
1987-10-01,9319.332,-145.405,392.107,537.511,2092.786,6670.6,3134.5
1988-01-01,9367.502,-123.987,418.727,542.714,2078.645,6765.9,3213.7
1988-04-01,9490.594,-106.627,439.471,546.098,2086.071,6839.6,3263.0
1988-07-01,9546.206,-99.263,453.586,552.849,2087.549,6911.5,3342.7
1988-10-01,9673.405,-107.694,466.619,574.314,2126.786,6989.1,3413.7
1989-01-01,9771.725,-100.965,485.189,586.154,2117.151,7072.7,3483.7
1989-04-01,9846.293,-88.16,507.229,595.389,2151.79,7099.5,3543.0
1989-07-01,9919.228,-75.075,509.352,584.427,2169.815,7108.6,3585.7
1989-10-01,9938.767,-82.765,515.387,598.152,2181.495,7172.8,3633.6
1990-01-01,10047.386,-88.536,538.232,626.767,2215.792,7184.9,3730.7
1990-04-01,10083.855,-68.833,545.925,614.759,2221.168,7262.7,3770.0
1990-07-01,10090.569,-74.953,555.149,630.102,2219.874,7289.9,3821.7
1990-10-01,9998.704,-79.096,568.186,647.282,2240.249,7159.5,3870.6
1991-01-01,9951.916,-47.14,573.177,620.317,2251.208,7117.2,3841.0
1991-04-01,10029.51,-23.188,590.733,613.921,2259.165,7136.9,3907.1
1991-07-01,10080.195,-21.074,600.595,621.669,2250.847,7156.6,3966.0
1991-10-01,10115.329,-23.053,615.217,638.27,2242.287,7169.7,3976.0
1992-01-01,10236.435,-20.536,625.287,645.823,2259.676,7251.5,4084.7
1992-04-01,10347.429,-32.788,626.163,658.951,2256.764,7313.2,4131.5
1992-07-01,10449.673,-38.488,639.365,677.853,2268.397,7373.5,4204.8
1992-10-01,10558.648,-47.14,641.396,688.536,2263.51,7321.0,4284.7
